"word1","word2","freq"
"school","dental",155
"professional","become",134
"patient","good",89
"year","first",79
"year","school",79
"year","dental",78
"year","learn",75
"professional","patient",75
"professional","dental",71
"will","patient",69
"will","learn",68
"patient","care",64
"professional","good",63
"will","good",63
"year","professional",63
"year","will",61
"year","next",58
"professional","learn",57
"will","professional",56
"dentist","become",55
"school","professional",55
"good","become",51
"year","become",50
"learn","good",50
"health","care",49
"skill","knowledge",48
"dental","become",47
"patient","hope",47
"provide","patient",47
"competent","become",46
"hope","become",46
"patient","learn",46
"patient","become",45
"year","four",45
"skill","professional",45
"will","skill",44
"will","become",43
"provide","care",42
"learn","dental",42
"will","dental",42
"professional","mean",42
"learn","become",41
"look","forward",41
"oral","health",41
"school","learn",41
"skill","patient",40
"skill","become",39
"year","hope",39
"treat","patient",39
"professional","care",38
"patient","able",37
"school","become",37
"good","can",37
"patient","can",37
"first","dental",37
"year","feel",37
"school","first",37
"professional","knowledge",37
"professional","can",36
"professional","hope",36
"good","dentist",35
"year","have",35
"will","hope",35
"will","knowledge",35
"will","school",35
"good","care",34
"good","dental",34
"school","good",34
"patient","health",34
"professional","health",34
"skill","learn",34
"patient","need",34
"learn","can",33
"can","become",32
"dentist","competent",32
"patient","dentist",32
"will","future",32
"want","good",32
"skill","hope",32
"will","make",32
"want","patient",32
"professional","believe",31
"patient","dental",31
"work","patient",31
"work","professional",31
"year","come",30
"professional","competent",30
"patient","knowledge",30
"professional","also",29
"learn","dentist",29
"professional","dentistry",29
"learn","hope",29
"year","skill",29
"patient","also",28
"work","become",28
"hope","dental",28
"will","dentist",28
"professional","ethical",28
"like","feel",28
"professional","field",28
"professional","first",28
"hope","good",28
"year","good",28
"school","hope",28
"patient","make",28
"professional","make",28
"will","time",28
"field","dentistry",27
"professional","feel",27
"patient","clinic",26
"year","dentistry",26
"will","experience",26
"patient","future",26
"knowledge","gain",26
"learn","knowledge",26
"year","knowledge",26
"work","learn",26
"practice","patient",26
"think","professional",26
"professional","able",25
"learn","also",25
"will","also",25
"will","can",25
"year","can",25
"will","care",25
"professional","dentist",25
"learn","dentistry",25
"patient","experience",25
"learn","first",25
"next","four",25
"health","good",25
"lot","learn",25
"year","make",25
"trust","patient",25
"year","throughout",25
"knowledge","become",24
"hope","can",24
"dental","care",24
"professional","experience",24
"knowledge","good",24
"work","hard",24
"year","nyucd",24
"year","patient",24
"will","peer",24
"work","will",24
"dentistry","become",23
"dental","can",23
"school","can",23
"skill","competent",23
"will","continue",23
"hope","dentist",23
"want","dentist",23
"will","develop",23
"year","gain",23
"provide","good",23
"year","lot",23
"treatment","patient",23
"will","practice",23
"good","also",22
"mean","become",22
"make","decision",22
"dentist","dental",22
"feel","dental",22
"knowledge","dental",22
"skill","dental",22
"patient","ethical",22
"learn","experience",22
"skill","gain",22
"help","good",22
"skill","good",22
"will","health",22
"professional","help",22
"skill","improve",22
"professional","know",22
"program","outreach",22
"become","also",21
"care","become",21
"goal","become",21
"dentist","can",21
"patient","colleague",21
"skill","dentist",21
"skill","develop",21
"year","experience",21
"good","feel",21
"make","good",21
"hope","health",21
"professional","life",21
"will","life",21
"year","much",21
"professional","one",21
"require","professional",21
"will","provide",21
"will","take",21
"will","think",21
"year","also",20
"feel","become",20
"field","become",20
"will","believe",20
"want","can",20
"hope","care",20
"year","competent",20
"dental","continue",20
"year","course",20
"experience","dental",20
"like","dental",20
"student","dental",20
"good","dentistry",20
"patient","dentistry",20
"learn","feel",20
"like","good",20
"possible","good",20
"learn","health",20
"will","help",20
"patient","interact",20
"professional","need",20
"will","need",20
"will","next",20
"relationship","patient",20
"provide","professional",20
"want","professional",20
"will","student",20
"year","want",20
"learn","class",19
"year","class",19
"patient","communicate",19
"skill","communication",19
"field","dental",19
"provide","dental",19
"professional","ethic",19
"will","ethical",19
"patient","improve",19
"much","learn",19
"year","like",19
"patient","one",19
"school","patient",19
"way","patient",19
"good","able",18
"dental","also",18
"first","become",18
"nyucd","become",18
"want","become",18
"oral","care",18
"learn","clinical",18
"health","community",18
"dental","competent",18
"knowledge","competent",18
"patient","decision",18
"dentistry","dental",18
"develop","dental",18
"health","dentist",18
"year","dentist",18
"knowledge","dentistry",18
"will","dentistry",18
"school","feel",18
"patient","field",18
"will","gain",18
"think","good",18
"skill","hand",18
"knowledge","hope",18
"relationship","hope",18
"patient","important",18
"professional","improve",18
"learn","know",18
"will","know",18
"school","knowledge",18
"understand","patient",18
"professional","practice",18
"throughout","professional",18
"skill","require",18
"year","time",18
"will","want",18
"hope","able",17
"skill","also",17
"throughout","become",17
"year","believe",17
"health","can",17
"skill","clinical",17
"outreach","community",17
"hope","competent",17
"first","complete",17
"year","complete",17
"year","continue",17
"learn","course",17
"life","dental",17
"like","dentistry",17
"professional","develop",17
"year","get",17
"oral","good",17
"time","good",17
"work","good",17
"nyucd","hope",17
"professional","important",17
"patient","know",17
"make","learn",17
"want","make",17
"year","many",17
"professional","nyucd",17
"year","one",17
"patient","oral",17
"patient","order",17
"year","past",17
"take","professional",17
"time","professional",17
"way","professional",17
"year","progress",17
"will","relationship",17
"time","school",17
"will","strive",17
"year","work",17
"will","allow",16
"health","become",16
"help","become",16
"provide","become",16
"dental","believe",16
"relationship","build",16
"work","can",16
"learn","care",16
"professional","career",16
"knowledge","clinical",16
"professional","community",16
"will","community",16
"will","competent",16
"professional","continue",16
"want","dental",16
"school","dentist",16
"patient","develop",16
"much","feel",16
"will","feel",16
"will","four",16
"patient","gain",16
"professional","goal",16
"standard","high",16
"work","hope",16
"will","improve",16
"like","learn",16
"next","learn",16
"provide","learn",16
"patient","life",16
"school","make",16
"professional","oral",16
"professional","other",16
"peer","patient",16
"possible","patient",16
"professional","profession",16
"progress","professional",16
"set","professional",16
"skill","school",16
"dental","able",15
"professional","act",15
"hope","also",15
"need","become",15
