word1,word2,freq,proportion
professional,professional,411,0.2164297
will,will,328,0.172722486
year,year,317,0.166929963
patient,patient,311,0.163770405
good,good,279,0.146919431
learn,learn,270,0.142180095
become,become,264,0.139020537
dental,dental,246,0.129541864
school,school,226,0.119010005
hope,hope,197,0.10373881
dentist,dentist,176,0.092680358
skill,skill,166,0.087414429
can,can,157,0.082675092
work,work,147,0.077409163
want,want,142,0.074776198
also,also,139,0.073196419
feel,feel,138,0.072669826
dentistry,dentistry,132,0.069510269
care,care,122,0.064244339
knowledge,knowledge,122,0.064244339
make,make,122,0.064244339
ethical,ethical,112,0.05897841
time,time,112,0.05897841
first,first,107,0.056345445
health,health,104,0.054765666
like,like,103,0.054239073
competent,competent,99,0.052132701
one,one,99,0.052132701
think,think,97,0.051079516
believe,believe,96,0.050552923
take,take,95,0.05002633
need,need,93,0.048973144
able,able,90,0.047393365
experience,experience,89,0.046866772
class,class,86,0.045286993
provide,provide,86,0.045286993
community,community,83,0.043707214
goal,goal,83,0.043707214
student,student,83,0.043707214
practice,practice,82,0.043180621
field,field,81,0.042654028
much,much,81,0.042654028
nyucd,nyucd,79,0.041600843
help,help,77,0.040547657
ethic,ethic,76,0.040021064
know,know,75,0.039494471
get,get,74,0.038967878
important,important,74,0.038967878
future,future,73,0.038441285
life,life,72,0.037914692
develop,develop,71,0.037388099
come,come,70,0.036861506
people,people,69,0.036334913
gain,gain,68,0.03580832
improve,improve,67,0.035281727
continue,continue,63,0.033175355
mean,mean,63,0.033175355
next,next,63,0.033175355
peer,peer,63,0.033175355
clinic,clinic,62,0.032648763
many,many,62,0.032648763
clinical,clinical,61,0.03212217
have,have,60,0.031595577
oral,oral,60,0.031595577
course,course,59,0.031068984
look,look,59,0.031068984
lot,lot,59,0.031068984
way,way,59,0.031068984
go,go,58,0.030542391
hard,hard,57,0.030015798
lab,lab,57,0.030015798
understand,understand,55,0.028962612
great,great,54,0.028436019
profession,profession,54,0.028436019
grow,grow,53,0.027909426
just,just,53,0.027909426
now,now,53,0.027909426
relationship,relationship,53,0.027909426
forward,forward,52,0.027382833
nyu,nyu,52,0.027382833
build,build,50,0.026329647
order,order,49,0.025803054
other,other,49,0.025803054
colleague,colleague,47,0.024749868
professionalism,professionalism,47,0.024749868
throughout,throughout,47,0.024749868
give,give,46,0.024223275
see,see,46,0.024223275
four,four,45,0.023696682
progress,progress,45,0.023696682
strive,strive,44,0.02317009
trust,trust,44,0.02317009
healthcare,healthcare,42,0.022116904
outreach,outreach,42,0.022116904
set,set,42,0.022116904
treat,treat,42,0.022116904
must,must,40,0.021063718
require,require,40,0.021063718
thing,thing,40,0.021063718
always,always,39,0.020537125
high,high,39,0.020537125
individual,individual,39,0.020537125
treatment,treatment,39,0.020537125
ability,ability,38,0.020010532
career,career,37,0.019483939
even,even,37,0.019483939
however,however,37,0.019483939
strong,strong,37,0.019483939
involve,involve,36,0.018957346
day,day,35,0.018430753
possible,possible,35,0.018430753
program,program,35,0.018430753
try,try,35,0.018430753
aspect,aspect,34,0.01790416
begin,begin,34,0.01790416
decision,decision,34,0.01790416
hand,hand,34,0.01790416
opportunity,opportunity,34,0.01790416
start,start,34,0.01790416
interact,interact,33,0.017377567
person,person,33,0.017377567
plan,plan,33,0.017377567
study,study,33,0.017377567
different,different,32,0.016850974
im,im,32,0.016850974
interest,interest,32,0.016850974
keep,keep,32,0.016850974
long,long,32,0.016850974
new,new,32,0.016850974
part,part,32,0.016850974
respect,respect,31,0.016324381
communicate,communicate,30,0.015797788
