"Text","doc_id"
"grow dentist influential definition dentistry","1"
"interaction comfort approach treatment define think dentistry still describe day","2"
"love talk school sport tv show ever ask open mouth","3"
"know set tooth name chart","4"
"look forward provide future patient similar experience","5"
"look forward develop knowledge skill necessary assure patient receive good quality care","6"
"throughout next year envision mold competent healthcare provider","7"
"hope build professional relationship colleague faculty","8"
"time nyucd opportunity good prepare demand dentistry need patient","9"
"dentistry evolve field excite part will offer near come future","10"
"grow dentist influential definition dentistry","11"
"interaction comfort approach treatment define think dentistry still describe day","12"
"love talk school sport tv show ever ask open mouth","13"
"know set tooth name chart","14"
"look forward provide future patient similar experience","15"
"look forward develop knowledge skill necessary assure patient receive good quality care","16"
"throughout next year envision mold competent healthcare provider","17"
"hope build professional relationship colleague faculty","18"
"time nyucd opportunity good prepare demand dentistry need patient","19"
"dentistry evolve field excite part will offer near come future","20"
"become ethical one must first able know right wrong","21"
"know right wrong one must understand appropriate action follow determination","22"
"take knowledge experience courage become truly ethical aspire become great dentist deliver future patient","23"
"definitely learn lot ethical work dentist require","24"
"just many way cut corner dentistry ethic can become critical issue entire system health care delivery","25"
"become professional reflection front peer also reflection front patient","26"
"someday can talk patient guide treatment way learn school especially ethic class maybe will professional","27"
"professionalism really stress school think definitely effect student body","28"
"time come move clinic sure will time mature progress term professionalism","29"
"compare have feel like gain lot knowledge","30"
"learn new thing dental field help become good professional","31"
"truly believe work ethic determination good next four year will allow become successful dentist","32"
"need keep remind next year ultimate goal","33"
"extremely interest orthodontics hope build connection need able eventually specialize","34"
"become professional go hand hand dentist","35"
"see professionalism dentist give patient confidence put health care hand allow strong patientdoctor relationship form","36"
"hope become competent professional build strong network professional health care field optimize treatment patient give confidence refer patient someone relationship","37"
"person smile one important feature body","38"
"way express happiness show kindness ability improve even someone elses mood","39"
"believe dentist give someone confidence great smile highly reward satisfy job hope become competent next four year","40"
"include complete course work also push study learn outside boundary curriculum become health care professional able cooperate coordinate other","41"
"one thing learn dental school get put want put good effort","42"
"hope become dentist influence large confine office highly involve local regional outreach program","43"
"school priority always","44"
"must keep mind choose school choose live city","45"
