"word1","word2","freq"
"patient","good",287
"professional","become",255
"professional","patient",217
"patient","care",209
"school","dental",197
"patient","learn",164
"will","patient",160
"treat","patient",144
"patient","can",139
"want","patient",136
"provide","patient",130
"professional","good",128
"patient","clinic",127
"patient","make",126
"good","become",125
"treatment","patient",125
"provide","care",119
"professional","dental",119
"will","good",119
"skill","patient",117
"patient","dental",114
"work","patient",113
"good","care",108
"dentist","become",107
"patient","become",107
"patient","also",104
"patient","dentist",101
"year","two",100
"will","professional",99
"learn","good",98
"professional","learn",97
"good","can",92
"patient","feel",92
"patient","able",91
"want","good",91
"will","learn",89
"patient","need",89
"skill","professional",89
"patient","hope",87
"year","learn",87
"patient","health",86
"health","care",85
"provide","good",85
"year","dental",84
"year","next",84
"learn","become",82
"patient","important",82
"trust","patient",81
"professional","care",80
"patient","experience",80
"dental","become",79
"competent","become",78
"good","dental",77
"skill","knowledge",77
"year","school",77
"skill","become",76
"learn","clinic",76
"oral","health",76
"make","good",71
"skill","good",71
"will","become",70
"year","four",70
"skill","learn",70
"see","patient",70
"dental","care",68
"will","dental",68
"treatment","plan",68
"work","professional",68
"learn","dental",67
"can","become",66
"year","become",66
"good","dentist",66
"like","feel",66
"professional","health",66
"patient","like",66
"procedure","patient",66
"time","patient",66
"understand","patient",66
"professional","can",65
"way","patient",65
"will","skill",65
"work","good",64
"professional","competent",63
"relationship","patient",63
"year","professional",63
"learn","can",62
"will","care",62
"possible","good",61
"good","able",60
"now","clinic",60
"will","dentist",60
"year","will",60
"learn","also",59
"patient","come",59
"patient","help",59
"professional","also",58
"work","hard",58
"patient","communication",57
"want","dentist",57
"year","good",57
"work","learn",57
"patient","now",57
"year","patient",57
"patient","ethical",56
"professional","feel",56
"work","will",56
"patient","knowledge",55
"time","good",54
"will","make",54
"good","also",53
"skill","communication",53
"make","decision",53
"field","dentistry",53
"year","hope",53
"year","nyucd",53
"school","become",52
"dentist","competent",52
"skill","dental",52
"professional","hope",52
"professional","make",52
"plan","patient",52
"think","patient",52
"school","professional",52
"hope","become",51
"learn","care",51
"skill","clinical",51
"respect","patient",51
"patient","always",50
"patient","competent",50
"provide","dental",50
"patient","dentistry",50
"learn","experience",50
"good","feel",50
"skill","improve",50
"will","school",50
"will","time",50
"will","can",49
"patient","clinical",49
"patient","gain",49
"hope","good",49
"need","good",49
"treatment","good",49
"school","learn",49
"patient","one",49
"possible","patient",49
"want","become",48
"professional","clinic",48
"feel","dental",48
"skill","dentist",48
"patient","faculty",48
"patient","first",48
"professional","believe",47
"dentist","can",47
"patient","get",47
"health","good",47
"much","learn",47
"think","professional",47
"work","become",46
"skill","care",46
"look","forward",46
"patient","know",46
"care","become",45
"want","can",45
"time","clinic",45
"skill","competent",45
"learn","dentistry",45
"professional","healthcare",45
"professional","mean",45
"patient","oral",45
"patient","build",44
"want","dental",44
"professional","experience",44
"will","hope",44
"provide","professional",44
"want","professional",44
"oral","care",43
"patient","colleague",43
"dentist","dental",43
"school","good",43
"professional","important",43
"patient","improve",43
"professional","knowledge",43
"make","learn",43
"professional","one",43
"peer","patient",43
"practice","patient",43
"dental","also",42
"work","clinic",42
"learn","dentist",42
"year","first",42
"patient","give",42
"will","help",42
"learn","knowledge",42
"take","patient",42
"year","skill",42
"feel","clinic",41
"good","clinic",41
"month","clinic",41
"start","clinic",41
"professional","field",41
"patient","future",41
"treat","good",41
"will","health",41
"want","make",41
"professional","able",40
"relationship","build",40
"hope","can",40
"make","can",40
"dentistry","dental",40
"knowledge","dental",40
"professional","ethical",40
"gain","experience",40
"knowledge","gain",40
"skill","gain",40
"good","get",40
"skill","hope",40
"will","knowledge",40
"lot","learn",40
"want","skill",40
"patient","believe",39
"good","clinical",39
"will","competent",39
"patient","decision",39
"work","dental",39
"work","dentist",39
"skill","develop",39
"patient","different",39
"help","good",39
"school","patient",39
"year","want",39
"patient","ability",38
"become","also",38
"will","also",38
"knowledge","become",38
"one","become",38
"want","care",38
"patient","communicate",38
"professional","dentist",38
"patient","develop",38
"like","good",38
"patient","interact",38
"nyucd","learn",38
"patient","much",38
"treat","professional",38
"dental","can",37
"dental","competent",37
"learn","competent",37
"next","four",37
"important","good",37
"knowledge","good",37
"time","learn",37
"time","professional",37
"will","strive",37
"good","ability",36
"feel","become",36
"goal","become",36
"good","believe",36
"year","clinic",36
"hope","dental",36
"will","dentistry",36
"think","good",36
"year","past",36
"can","also",35
"experience","clinic",35
"hope","competent",35
"year","competent",35
"hope","dentist",35
"professional","dentistry",35
"will","experience",35
"year","experience",35
"need","learn",35
"patient","nyucd",35
"professional","oral",35
"take","professional",35
"want","able",34
"good","always",34
"health","become",34
"possible","care",34
"goal","dental",34
"make","feel",34
"practice","good",34
"way","good",34
"year","like",34
"will","provide",34
"skill","school",34
"like","dental",33
"student","dental",33
"will","feel",33
"hope","gain",33
"patient","healthcare",33
"want","learn",33
"patient","many",33
"professional","many",33
"patient","order",33
"way","professional",33
"treatment","provide",33
"care","able",32
"make","also",32
"clinic","become",32
"care","can",32
"provide","can",32
"work","can",32
"dentist","care",32
"time","come",32
"dental","community",32
"professional","community",32
"will","community",32
"will","continue",32
"field","dental",32
"health","dental",32
"nyucd","dental",32
"year","dentist",32
"year","dentistry",32
"professional","develop",32
"good","ethical",32
"patient","every",32
"learn","faculty",32
"year","gain",32
"patient","goal",32
"strive","good",32
"learn","hope",32
"patient","interest",32
"patient","look",32
"skill","need",32
"will","need",32
"provider","patient",32
"really","patient",32
"try","patient",32
"progress","professional",32
"will","able",31
"work","also",31
"nyucd","become",31
"year","can",31
"knowledge","clinical",31
"patient","comfortable",31
"patient","confident",31
"school","dentist",31
"year","feel",31
"one","good",31
"patient","keep",31
"professional","life",31
"professional","peer",31
"year","work",31
"learn","able",30
"dentist","also",30
"believe","become",30
"dentistry","become",30
"experience","care",30
"enter","clinic",30
"skill","clinic",30
"dental","come",30
"two","dental",30
"good","dentistry",30
"knowledge","dentistry",30
"will","develop",30
"learn","first",30
"patient","go",30
"try","good",30
"skill","hand",30
"provider","healthcare",30
"year","knowledge",30
"practice","learn",30
"professional","like",30
"professional","now",30
"will","oral",30
"program","outreach",30
"start","patient",30
"student","patient",30
"professional","practice",30
"work","skill",30
"time","take",30
"want","also",29
"need","care",29
"learn","clinical",29
"professional","clinical",29
"professional","come",29
"school","competent",29
"make","dental",29
"knowledge","dentist",29
"good","experience",29
"knowledge","experience",29
"learn","feel",29
"good","goal",29
"know","good",29
"order","good",29
"relationship","good",29
"year","have",29
"learn","health",29
"learn","help",29
"work","hope",29
"like","learn",29
"new","learn",29
"now","learn",29
"still","learn",29
"student","learn",29
"treat","learn",29
"professional","manner",29
"two","next",29
"will","nyucd",29
"use","patient",29
"procedure","perform",29
"like","also",28
"experience","become",28
"take","become",28
"time","become",28
"work","care",28
"like","clinic",28
"will","clinical",28
"will","come",28
"feel","comfortable",28
"need","dental",28
"skill","experience",28
"peer","faculty",28
"procedure","good",28
"understand","good",28
"professional","know",28
"treatment","learn",28
"time","make",28
"thing","patient",28
"understand","professional",28
"will","take",28
"work","time",28
"will","treatment",28
"skill","also",27
"four","become",27
"hope","build",27
"much","can",27
"need","can",27
"one","can",27
"skill","can",27
"community","care",27
"knowledge","care",27
"year","clinical",27
"dentist","community",27
"patient","confidence",27
"every","day",27
"practice","dental",27
"nyucd","dentist",27
"patient","do",27
"patient","ethic",27
"will","ethical",27
"patient","even",27
"work","experience",27
"professional","gain",27
"good","give",27
"learn","goal",27
"year","goal",27
"interest","good",27
"peer","good",27
"student","good",27
"professional","help",27
"patient","interaction",27
"learn","ive",27
"one","learn",27
"procedure","learn",27
"way","learn",27
"sure","make",27
"patient","may",27
"strive","patient",27
"provide","possible",27
"will","practice",27
"relationship","professional",27
"responsibility","professional",27
"trust","professional",27
"will","want",27
"will","way",27
"dental","able",26
"hope","able",26
"care","also",26
"dentistry","also",26
"health","also",26
"important","also",26
"professional","always",26
"confident","become",26
"patient","case",26
"will","clinic",26
"school","come",26
"professional","communication",26
"patient","deal",26
"provide","dentist",26
"good","develop",26
"good","ethic",26
"now","feel",26
"school","first",26
"will","go",26
"oral","good",26
"trust","good",26
"professional","grow",26
"patient","just",26
"provide","learn",26
"time","like",26
"work","make",26
"patient","mean",26
"patient","must",26
"professional","need",26
"will","next",26
"professional","nyucd",26
"professional","order",26
"skill","provide",26
"time","school",26
"make","able",25
"will","always",25
"learn","apply",25
"healthcare","become",25
"like","become",25
"mean","become",25
"practitioner","become",25
"health","can",25
"now","can",25
"dental","career",25
"learn","come",25
"learn","continue",25
"professional","continue",25
"experience","dental",25
"like","dentist",25
"school","dentistry",25
"professional","ethic",25
"patient","find",25
"work","get",25
"plan","good",25
"provide","health",25
"standard","high",25
"next","hope",25
"peer","learn",25
"thing","learn",25
"patient","life",25
"patient","manner",25
"patient","next",25
"realize","patient",25
"will","peer",25
"skill","practice",25
"will","procedure",25
"want","school",25
"become","able",24
"hope","also",24
"community","become",24
"gain","become",24
"dental","believe",24
"will","believe",24
"goal","can",24
"school","can",24
"trust","can",24
"hope","care",24
"first","clinic",24
"ive","clinic",24
"year","come",24
"good","community",24
"health","community",24
"patient","community",24
"feel","competent",24
"knowledge","competent",24
"nyucd","competent",24
"feel","confident",24
"dental","continue",24
"good","continue",24
"hope","continue",24
"patient","continue",24
"learn","course",24
"ethical","dental",24
"gain","dental",24
"oral","dental",24
"time","dental",24
"make","dentist",24
"experience","dentistry",24
"practice","dentistry",24
"knowledge","field",24
"learn","go",24
"professional","go",24
"life","good",24
"much","good",24
"thing","good",24
"patient","great",24
"patient","high",24
"think","learn",24
"two","learn",24
"year","lot",24
"treatment","make",24
"time","need",24
"patient","option",24
"put","patient",24
"real","patient",24
"respect","professional",24
"work","want",24
"provide","able",23
"make","become",23
"practice","become",23
"good","build",23
"like","can",23
"procedure","can",23
"competent","care",23
"make","care",23
"get","clinic",23
"experience","clinical",23
"relationship","colleague",23
"good","come",23
"good","communication",23
"first","dental",23
"profession","dental",23
"skill","dentistry",23
"practice","ethical",23
"good","faculty",23
"patient","field",23
"will","gain",23
"will","get",23
"learn","give",23
"skill","goal",23
"learn","great",23
"provide","hope",23
"learn","important",23
"school","knowledge",23
"take","learn",23
"school","like",23
"patient","month",23
"time","much",23
"skill","necessary",23
"skill","next",23
"year","now",23
"treatment","option",23
"skill","order",23
"will","order",23
"will","people",23
"set","professional",23
"strive","professional",23
"trust","relationship",23
"student","school",23
"will","think",23
"want","time",23
"can","able",22
"year","also",22
"field","become",22
"need","become",22
"treat","become",22
"clinic","begin",22
"important","believe",22
"take","care",22
"treatment","care",22
"professional","career",22
"come","clinic",22
"see","clinic",22
"set","clinical",22
"didactic","course",22
"ethical","decision",22
"education","dental",22
"procedure","dental",22
"treatment","dental",22
"goal","dentist",22
"feel","dentistry",22
"understand","dentistry",22
"work","faculty",22
"procedure","feel",22
"two","first",22
"school","get",22
"will","give",22
"will","goal",22
