"word1","word2","freq","proportion"
"patient","patient",1176,0.282692307692308
"professional","professional",764,0.183653846153846
"good","good",674,0.162019230769231
"learn","learn",572,0.1375
"will","will",545,0.131009615384615
"become","become",499,0.119951923076923
"dental","dental",464,0.111538461538462
"year","year",393,0.0944711538461538
"clinic","clinic",376,0.0903846153846154
"work","work",367,0.0882211538461539
"can","can",352,0.0846153846153846
"skill","skill",345,0.0829326923076923
"care","care",340,0.0817307692307692
"want","want",336,0.0807692307692308
"dentist","dentist",331,0.0795673076923077
"make","make",316,0.0759615384615385
"also","also",304,0.0730769230769231
"school","school",303,0.0728365384615385
"feel","feel",300,0.0721153846153846
"time","time",288,0.0692307692307692
"hope","hope",279,0.0670673076923077
"dentistry","dentistry",256,0.0615384615384615
"like","like",234,0.05625
"need","need",220,0.0528846153846154
"experience","experience",216,0.0519230769230769
"knowledge","knowledge",209,0.0502403846153846
"provide","provide",208,0.05
"able","able",203,0.0487980769230769
"health","health",198,0.0475961538461538
"ethical","ethical",195,0.046875
"treatment","treatment",191,0.0459134615384615
"think","think",188,0.0451923076923077
"competent","competent",185,0.0444711538461538
"important","important",185,0.0444711538461538
"one","one",183,0.0439903846153846
"come","come",179,0.0430288461538462
"now","now",173,0.0415865384615385
"practice","practice",172,0.0413461538461538
"take","take",172,0.0413461538461538
"nyucd","nyucd",171,0.0411057692307692
"way","way",170,0.0408653846153846
"treat","treat",169,0.040625
"help","help",164,0.0394230769230769
"believe","believe",160,0.0384615384615385
"get","get",156,0.0375
"clinical","clinical",153,0.0367788461538462
"much","much",150,0.0360576923076923
"know","know",147,0.0353365384615385
"many","many",146,0.0350961538461538
"community","community",145,0.0348557692307692
"goal","goal",145,0.0348557692307692
"procedure","procedure",139,0.0334134615384615
"student","student",138,0.0331730769230769
"gain","gain",137,0.0329326923076923
"see","see",137,0.0329326923076923
"oral","oral",136,0.0326923076923077
"go","go",134,0.0322115384615385
"first","first",133,0.0319711538461538
"people","people",129,0.0310096153846154
"always","always",128,0.0307692307692308
"faculty","faculty",128,0.0307692307692308
"ethic","ethic",126,0.0302884615384615
"field","field",124,0.0298076923076923
"improve","improve",124,0.0298076923076923
"life","life",124,0.0298076923076923
"understand","understand",122,0.0293269230769231
"trust","trust",121,0.0290865384615385
"plan","plan",119,0.0286057692307692
"continue","continue",118,0.0283653846153846
"start","start",117,0.028125
"two","two",116,0.0278846153846154
"really","really",115,0.0276442307692308
"peer","peer",112,0.0269230769230769
"develop","develop",111,0.0266826923076923
"give","give",110,0.0264423076923077
"relationship","relationship",109,0.0262019230769231
"thing","thing",106,0.0254807692307692
"lot","lot",105,0.0252403846153846
"different","different",104,0.025
"great","great",103,0.0247596153846154
"next","next",100,0.0240384615384615
"profession","profession",100,0.0240384615384615
"try","try",99,0.0237980769230769
"hard","hard",98,0.0235576923076923
"just","just",98,0.0235576923076923
"build","build",96,0.0230769230769231
"communication","communication",96,0.0230769230769231
"may","may",96,0.0230769230769231
"still","still",96,0.0230769230769231
"career","career",94,0.0225961538461538
"even","even",93,0.0223557692307692
"look","look",93,0.0223557692307692
"ability","ability",90,0.0216346153846154
"possible","possible",90,0.0216346153846154
"ive","ive",89,0.0213942307692308
"new","new",89,0.0213942307692308
"colleague","colleague",88,0.0211538461538462
"grow","grow",88,0.0211538461538462
"have","have",87,0.0209134615384615
"order","order",87,0.0209134615384615
"strive","strive",87,0.0209134615384615
"use","use",87,0.0209134615384615
"confident","confident",86,0.0206730769230769
"future","future",86,0.0206730769230769
"healthcare","healthcare",86,0.0206730769230769
"keep","keep",86,0.0206730769230769
"respect","respect",86,0.0206730769230769
"set","set",86,0.0206730769230769
"im","im",84,0.0201923076923077
"course","course",83,0.0199519230769231
"every","every",80,0.0192307692307692
"nyu","nyu",79,0.0189903846153846
"find","find",78,0.01875
"high","high",78,0.01875
"interest","interest",78,0.01875
"aspect","aspect",77,0.0185096153846154
"challenge","challenge",77,0.0185096153846154
"opportunity","opportunity",77,0.0185096153846154
"part","part",77,0.0185096153846154
"day","day",76,0.0182692307692308
"decision","decision",76,0.0182692307692308
"person","person",76,0.0182692307692308
"progress","progress",75,0.0180288461538462
"must","must",74,0.0177884615384615
"professionalism","professionalism",74,0.0177884615384615
"realize","realize",73,0.0175480769230769
"mean","mean",72,0.0173076923076923
"four","four",71,0.0170673076923077
"other","other",71,0.0170673076923077
"hand","hand",70,0.0168269230769231
"month","month",70,0.0168269230769231
"class","class",69,0.0165865384615385
"do","do",69,0.0165865384615385
"education","education",69,0.0165865384615385
"forward","forward",69,0.0165865384615385
"begin","begin",68,0.0163461538461538
"maintain","maintain",68,0.0163461538461538
"right","right",68,0.0163461538461538
"personal","personal",66,0.0158653846153846
"provider","provider",66,0.0158653846153846
"back","back",65,0.015625
"past","past",65,0.015625
"standard","standard",65,0.015625
"everything","everything",61,0.0146634615384615
"us","us",61,0.0146634615384615
"far","far",60,0.0144230769230769
"however","however",60,0.0144230769230769
"comfortable","comfortable",58,0.0139423076923077
"graduate","graduate",58,0.0139423076923077
"say","say",58,0.0139423076923077
"change","change",56,0.0134615384615385
"prepare","prepare",56,0.0134615384615385
"lab","lab",55,0.0132211538461538
"program","program",55,0.0132211538461538
"complete","complete",54,0.0129807692307692
"end","end",54,0.0129807692307692
"individual","individual",54,0.0129807692307692
"manner","manner",54,0.0129807692307692
"since","since",54,0.0129807692307692
"towards","towards",54,0.0129807692307692
"communicate","communicate",53,0.0127403846153846
"something","something",53,0.0127403846153846
"involve","involve",52,0.0125
"situation","situation",52,0.0125
"strong","strong",52,0.0125
"throughout","throughout",52,0.0125
"last","last",51,0.0122596153846154
"outreach","outreach",51,0.0122596153846154
"perform","perform",51,0.0122596153846154
"practitioner","practitioner",51,0.0122596153846154
"responsibility","responsibility",51,0.0122596153846154
"teach","teach",51,0.0122596153846154
"case","case",50,0.0120192307692308
"interact","interact",50,0.0120192307692308
"enter","enter",49,0.0117788461538462
"quality","quality",49,0.0117788461538462
"require","require",49,0.0117788461538462
"long","long",48,0.0115384615384615
"principle","principle",48,0.0115384615384615
"put","put",48,0.0115384615384615
"within","within",48,0.0115384615384615
"although","although",47,0.0112980769230769
"little","little",47,0.0112980769230769
"allow","allow",46,0.0110576923076923
"didactic","didactic",46,0.0110576923076923
"public","public",46,0.0110576923076923
"academic","academic",45,0.0108173076923077
"achieve","achieve",45,0.0108173076923077
"certain","certain",45,0.0108173076923077
"confidence","confidence",45,0.0108173076923077
"difficult","difficult",45,0.0108173076923077
"real","real",45,0.0108173076923077
"sure","sure",44,0.0105769230769231
"love","love",43,0.0103365384615385
"present","present",43,0.0103365384615385
"professionally","professionally",43,0.0103365384615385
"study","study",43,0.0103365384615385
"successful","successful",43,0.0103365384615385
"deal","deal",42,0.0100961538461538
"expect","expect",42,0.0100961538461538
