"Text","doc_id"
"ethic will base practice","1"
"deliver good possible care ethical time intend practice base practice","2"
"next four year want grow individual","3"
"want become professional","4"
"around dental field past year work dental office dental assistant","5"
"want transition dental assistant dentist","6"
"hope finish four year nyu will confident ethical doctor","7"
"find important establish trust relationship patient first thing everything good interest patient","8"
"become professional believe take time","9"
"need expose situation need interact professional learn","10"
"believe never stop learn become professional lifelong process","11"
"become professional believe take time","12"
"need expose situation need interact professional learn","13"
"believe never stop learn become professional lifelong process","14"
"begin dental career two year ago come long way far","15"
"gain many skill interpersonally socially importantly manual dexterity","16"
"look forward apply skill eager learn next two year nyucd","17"
"next four year want grow individual","18"
"want become professional","19"
"around dental field past year work dental office dental assistant","20"
"want transition dental assistant dentist","21"
"hope finish four year nyu will confident ethical doctor","22"
"find important establish trust relationship patient first thing everything good interest patient","23"
"health care professional duty ethical action interaction","24"
"treat patient will learn community around can culturally sensitive empathetic","25"
"will also stick code ethic will hold","26"
"will include putting patient desire health oral health personal desire","27"
"will always provide patient option may able make good decision oral health base limitation understand","28"
"will always document procedure important event occur patient visit can legally protect work document future review","29"
"will never discriminate will serve equally regardless ethnicity gender faith sexual orientation etc take consideration various culture belief patient sensitive understand","30"
"dental student will strive learn various oral health disease symptom good different method improve oral hygiene","31"
"will also learn process behind disease treat","32"
"clinic will learn characteristic tooth restore via crown filling root canal remove caries make complete partial denture create model impression study patient mouth prepare crown retainer","33"
"will also learn interact patient term explain procedure word can understand manner respectful empathetic ethical way putting patient health want personal desire","34"
"finally hope learn colleague practice communicate work together help return","35"
"believe environment everyone honest work together team end benefit work good patient treat","36"
"personally professional hope can possibly specialize area orthodontics pediatrics periodontics endodontics","37"
"however will limit specialty will explore area specialty","38"
"will also satisfy general dentist good","39"
"ultimately though depend find enjoy","40"
"also like open clinic less clinic another associate especially ease accessibility another dentist opinion","41"
"finally will strive treat patient respect colleague gratification respect","42"
"will try patient patient can difficult communicate patient may different ideology","43"
"will make sure aware various cultural belief sensitive time mindful make multitude identity","44"
"become health professional hope provide patient good care can possibly give","45"
"include continue education go convention conference learn date technology oral hygiene","46"
"will also constantly challenge good work selfassessing often check past work see anything redo","47"
"professional will strive clear concise communication patient colleague","48"
"will also attempt ensure patient understand importance oral hygiene overall health various way can take care tooth health","49"
"even patient difficulty practice want make sure give information knowledge can make autonomous decision dental health","50"
"3 year ive learn much oral cavity can reflect disease body oral cavity can affect change occur patient body","51"
"ive learn work another student dental assistant vice versa learn team effort","52"
"ive learn step process need create complete removable partial denture","53"
"ive learn prepare crown bridge good make temporary crown bridge","54"
"ive learn interact patient now clinic start understand communicate patient way show professionalism competence still student school","55"
"clinic ive able practice patient good give local anesthesia patient form nerve block infiltration comprehensive exam xray prophylaxis scale root plane restoration","56"
"still yet perform endodontics yet aim soon","57"
"dental student will strive learn good serve patient community around various community around country world","58"
"specifically will become knowledgeable cause symptom dental disease good full body disease especially can become evident oral cavity","59"
"will learn treat patient shortterm longterm capacity","60"
"will also strive treat patient respect sympathy ethically take account various cultural identity sensitive understand","61"
"will always put patient health desire personal gain will sure refer patient doctor dentist feel able complete procedure","62"
"will practice communication skill honest patient","63"
"will practice skill competent able serve other good","64"
"strive continue learn new method technique technology appropriate good able treat patient","65"
"believe practitioner attitude fundamentally influence patient view health decision make process","66"
"integrity personal standard goal aspiration important factor earn respect peer colleague patient general public","67"
"public expect health profession behave make decision utmost ethical standard","68"
"important realize ethical dilemma can solve five principle ethic value profession","69"
"ever since realize dentistry one profession seamlessly blend artistry science fascinate","70"
"thus natural vast interest become orthodontist","71"
"however like expose various different dental specialty school curriculum also community outreach volunteer service","72"
"dental student like graduate dental school good stand proficiency general dentistry","73"
"health care professional like learn technical skill also interpersonal skill fulfill relationship patient various different background","74"
"realize skill require uphold ethical principle good rule regulation time","75"
"moreover hope openminded bold make decision","76"
"addition like good lifelong relationship peer private professional environment","77"
"dentistry one profession require high practical prowess also moral ethical standard","78"
"several factor make dentist good professional believe one important thing professional independent proficient job","79"
"word professional consistent punctual","80"
"addition important follow rule regulation prevent reckless nefarious malpractice","81"
"however mean one stagnant passive profession","82"
"rather believe important professional actively seek improvement advancement","83"
"can achieve work discuss research issue different professional various different field profession","84"
"moreover important professional appropriate moral ethical standard","85"
"believe factor crucial become good professional","86"
"dentistry one profession require high practical prowess also moral ethical standard","87"
"several factor make dentist good professional believe one important thing professional independent proficient job","88"
"word professional consistent punctual","89"
"addition important follow rule regulation prevent reckless nefarious malpractice","90"
"however mean one stagnant passive profession","91"
"rather believe important professional actively seek improvement advancement","92"
"can achieve work discuss research issue different professional various different field profession","93"
"moreover important professional appropriate moral ethical standard","94"
"believe factor crucial become good professional","95"
"believe professional demonstrate competency proficiency vocation high ethical standard good personal quality compassion respect empathy","96"
"overall work hard get everything class take school clinic even graduate start work will able apply knowledge skill achieve school","97"
"ever since realize dentistry one profession seamlessly blend artistry science fascinate","98"
"thus natural vast interest become orthodontist","99"
"however like expose various different dental specialty school curriculum also community outreach volunteer service","100"
"dental student like graduate dental school good stand proficiency general dentistry","101"
"health care professional like learn technical skill also interpersonal skill fulfill relationship patient various different background","102"
"realize skill require uphold ethical principle good rule regulation time","103"
