"word1","word2","freq","proportion"
"patient","patient",1823,0.269874167283494
"professional","professional",1199,0.177498149518875
"good","good",995,0.147298297557365
"will","will",935,0.138415988156921
"become","become",794,0.117542561065877
"learn","learn",792,0.117246484085862
"dental","dental",779,0.115321983715766
"year","year",660,0.0977054034048853
"work","work",584,0.0864544781643227
"can","can",579,0.0857142857142857
"care","care",568,0.0840858623242043
"dentist","dentist",558,0.0826054774241303
"skill","skill",547,0.0809770540340489
"clinic","clinic",539,0.0797927461139896
"feel","feel",497,0.0735751295336788
"make","make",484,0.0716506291635825
"also","also",482,0.0713545521835677
"time","time",456,0.0675055514433753
"want","want",435,0.0643967431532198
"school","school",422,0.0624722427831236
"dentistry","dentistry",417,0.0617320503330866
"hope","hope",398,0.058919319022946
"need","need",381,0.0564026646928201
"like","like",364,0.0538860103626943
"one","one",363,0.0537379718726869
"knowledge","knowledge",360,0.0532938564026647
"experience","experience",350,0.0518134715025907
"treatment","treatment",323,0.0478164322723908
"able","able",321,0.047520355292376
"provide","provide",320,0.0473723168023686
"health","health",317,0.0469282013323464
"ethical","ethical",315,0.0466321243523316
"think","think",301,0.044559585492228
"treat","treat",294,0.0435233160621762
"competent","competent",285,0.0421909696521095
"help","help",283,0.0418948926720947
"come","come",279,0.0413027387120651
"much","much",275,0.0407105847520355
"practice","practice",275,0.0407105847520355
"get","get",273,0.0404145077720207
"take","take",272,0.0402664692820133
"know","know",267,0.0395262768319763
"important","important",262,0.0387860843819393
"nyucd","nyucd",259,0.0383419689119171
"way","way",258,0.0381939304219097
"now","now",252,0.0373056994818653
"believe","believe",251,0.0371576609918579
"goal","goal",241,0.0356772760917839
"always","always",234,0.0346410066617321
"community","community",234,0.0346410066617321
"understand","understand",231,0.0341968911917098
"procedure","procedure",227,0.0336047372316802
"many","many",222,0.0328645447816432
"first","first",220,0.0325684678016284
"clinical","clinical",219,0.032420429311621
"see","see",219,0.032420429311621
"faculty","faculty",217,0.0321243523316062
"gain","gain",216,0.0319763138415988
"student","student",215,0.0318282753515914
"continue","continue",209,0.030940044411547
"life","life",207,0.0306439674315322
"go","go",201,0.0297557364914878
"improve","improve",200,0.0296076980014804
"thing","thing",200,0.0296076980014804
"ethic","ethic",199,0.029459659511473
"field","field",198,0.0293116210214656
"oral","oral",195,0.0288675055514434
"give","give",194,0.028719467061436
"profession","profession",194,0.028719467061436
"people","people",193,0.0285714285714286
"plan","plan",193,0.0285714285714286
"lot","lot",184,0.027239082161362
"try","try",182,0.0269430051813472
"look","look",175,0.0259067357512953
"peer","peer",174,0.0257586972612879
"different","different",172,0.0254626202812731
"do","do",168,0.0248704663212435
"still","still",166,0.0245743893412287
"develop","develop",165,0.0244263508512213
"just","just",164,0.0242783123612139
"great","great",163,0.0241302738712065
"im","im",162,0.0239822353811991
"trust","trust",159,0.0235381199111769
"every","every",158,0.0233900814211695
"possible","possible",155,0.0229459659511473
"grow","grow",154,0.0227979274611399
"hard","hard",154,0.0227979274611399
"have","have",152,0.0225018504811251
"find","find",149,0.0220577350111029
"really","really",147,0.0217616580310881
"career","career",146,0.0216136195410807
"progress","progress",145,0.0214655810510733
"start","start",144,0.0213175425610659
"may","may",143,0.0211695040710585
"relationship","relationship",142,0.0210214655810511
"strive","strive",142,0.0210214655810511
"day","day",139,0.0205773501110289
"confident","confident",137,0.0202812731310141
"colleague","colleague",136,0.0201332346410067
"mean","mean",135,0.0199851961509993
"must","must",135,0.0199851961509993
"new","new",133,0.0196891191709845
"future","future",131,0.0193930421909697
"ive","ive",131,0.0193930421909697
"nyu","nyu",131,0.0193930421909697
"ability","ability",130,0.0192450037009623
"even","even",130,0.0192450037009623
"order","order",130,0.0192450037009623
"build","build",129,0.0190969652109548
"communication","communication",128,0.0189489267209474
"realize","realize",128,0.0189489267209474
"high","high",126,0.0186528497409326
"set","set",126,0.0186528497409326
"next","next",125,0.0185048112509252
"standard","standard",124,0.0183567727609178
"healthcare","healthcare",120,0.0177646188008882
"focus","focus",118,0.0174685418208734
"professionalism","professionalism",118,0.0174685418208734
"us","us",118,0.0174685418208734
"challenge","challenge",116,0.0171724648408586
"however","however",116,0.0171724648408586
"aspect","aspect",115,0.0170244263508512
"keep","keep",115,0.0170244263508512
"opportunity","opportunity",115,0.0170244263508512
"education","education",114,0.0168763878608438
"other","other",114,0.0168763878608438
"person","person",114,0.0168763878608438
"respect","respect",112,0.016580310880829
"since","since",112,0.016580310880829
"personal","personal",111,0.0164322723908216
"communicate","communicate",110,0.0162842339008142
"require","require",108,0.0159881569207994
"decision","decision",107,0.015840118430792
"forward","forward",107,0.015840118430792
"part","part",106,0.0156920799407846
"complete","complete",105,0.0155440414507772
"course","course",105,0.0155440414507772
"interest","interest",105,0.0155440414507772
"far","far",103,0.0152479644707624
"class","class",102,0.015099925980755
"long","long",102,0.015099925980755
"provider","provider",102,0.015099925980755
"situation","situation",102,0.015099925980755
"practitioner","practitioner",101,0.0149518874907476
"right","right",101,0.0149518874907476
"something","something",101,0.0149518874907476
"last","last",100,0.0148038490007402
"maintain","maintain",100,0.0148038490007402
"change","change",99,0.0146558105107328
"quality","quality",99,0.0146558105107328
"use","use",98,0.0145077720207254
"week","week",95,0.0140636565507032
"outreach","outreach",94,0.0139156180606958
"comfortable","comfortable",92,0.013619541080681
"hand","hand",92,0.013619541080681
"say","say",92,0.013619541080681
"strong","strong",92,0.013619541080681
"past","past",90,0.0133234641006662
"program","program",90,0.0133234641006662
"case","case",88,0.0130273871206514
"four","four",88,0.0130273871206514
"difficult","difficult",87,0.012879348630644
"achieve","achieve",86,0.0127313101406366
"back","back",86,0.0127313101406366
"towards","towards",85,0.0125832716506292
"responsibility","responsibility",84,0.0124352331606218
"involve","involve",83,0.0122871946706144
"manner","manner",83,0.0122871946706144
"perform","perform",83,0.0122871946706144
"put","put",82,0.012139156180607
"begin","begin",81,0.0119911176905996
"allow","allow",80,0.0118430792005922
"graduate","graduate",80,0.0118430792005922
"individual","individual",80,0.0118430792005922
"teach","teach",80,0.0118430792005922
"never","never",79,0.0116950407105848
"everything","everything",78,0.0115470022205774
"little","little",78,0.0115470022205774
"two","two",78,0.0115470022205774
"end","end",77,0.0113989637305699
"confidence","confidence",76,0.0112509252405625
"throughout","throughout",76,0.0112509252405625
"area","area",74,0.0109548482605477
"integrity","integrity",74,0.0109548482605477
"public","public",74,0.0109548482605477
"necessary","necessary",73,0.0108068097705403
"certain","certain",72,0.0106587712805329
"deal","deal",71,0.0105107327905255
"didactic","didactic",69,0.0102146558105107
"month","month",69,0.0102146558105107
"role","role",69,0.0102146558105107
"sure","sure",68,0.0100666173205033
"tooth","tooth",68,0.0100666173205033
"lab","lab",67,0.00991857883049593
"various","various",67,0.00991857883049593
"moral","moral",66,0.00977054034048853
"professionally","professionally",66,0.00977054034048853
"academic","academic",65,0.00962250185048113
"love","love",65,0.00962250185048113
"manage","manage",65,0.00962250185048113
"principle","principle",65,0.00962250185048113
"serve","serve",65,0.00962250185048113
"point","point",64,0.00947446336047372
"process","process",64,0.00947446336047372
"someone","someone",64,0.00947446336047372
"successful","successful",64,0.00947446336047372
"though","though",64,0.00947446336047372
"present","present",63,0.00932642487046632
"requirement","requirement",63,0.00932642487046632
