X1,NETID,RefType,Date,Time,Text,DYear
1,Q2a1zJef,Private Personal,06-11-16 18:08,18.13333333,"Sternberg's triangular theory of love states that with passion, commitment and intimacy consummate love is attainable. It is my belief that integrating these three components as my guiding values will ultimately lead to my idea of a consummate life: my triangular theory of success.  Indeed, it is my journey as a dental student that led me to what I believe is a consummate life.  As a dentist and as a woman, I yearn to continue my dental career within this triangular theory of success; satiating my passion for the dental discipline, committing myself to the healthcare profession, and building an intimate bond with my patients. Some believe that reaching perfection is unattainable, but there is something truly 'consummate' about dedicating yourself to something you love and developing the wisdom needed to treat patients with different needs and challenges.
	
My first year as a dental student was by far the most difficult, but it was also the most rewarding one given it was the validation of my love with the field. Midway through the semester I gave birth to a beautiful baby girl and she became a reminder that I was not only going to school to fulfill my dreams, but also to fulfill hers. Thankfully there were no complications and I managed to maintain my pre-partum schedule and be a fulltime mom. Balancing being a student, wife and mother helped me to fully understand the power of my calling. I was backed by a loving and nurturing family that inspired me to dedicate myself to a career and that gave me the tools to be a versatile woman. I knew back then that I still had a long road ahead of me, but that nothing could stop me from reaching my goals.  

Along the academic road was entering clinic, an experience which marked me profoundly as an individual and as dental practitioner. Treating patients only cemented my desire to become a dentist, as it was through practice that I came to comprehend my devotion to working in the care of people. Your patients place all their trust in you and seeing that gave me the confidence I needed and served as a great motivator. Needless to say, I was immensely excited to take all my book wisdom and apply it to actual people. It was only until I began hands on work that I was able to apply my unique skills of dental artistry.  Once my patients began referring their friends and family members, I realized that not only did my patients have faith in me; they were witnesses to the high quality of my work. 

Four years have passed since I entered dental school, and on record this time shows the dedication I put into my education; however, this time was so much more than studying for me. In four years I transitioned into the woman I am today, learning how to juggle being a wife, mother, student and working woman. While my perseverance and determination were strong, there were moments when my inner struggles almost got the best of me. It wasn't easy putting all my focus on my career when there were people depending on me, and while there were plenty of sleepless nights and disappointments, I learned through this journey that nothing worth fighting for is easy. I came out knowing what I was capable of and that ultimately my resiliency would be the determinant of the outcomes in my life and my career. I am completely resolute on being a dental practitioner, on helping people, on accomplishing revolutionizing things within my field and looking back on my journey I realize that I have acquired the passion, commitment and intimacy within my concentration to say I have attained my idea of a consummate life",D4F
2,Q3KOrarY,Ethic Reflection,29-11-16 1:16,1.266666667,"As a health care professional, it is my duty to be ethical in all my actions and interactions. In treating patients, I will learn about the community around me so that I can be culturally sensitive and empathetic. I will also stick to a code of ethics that I will hold myself to. These will include putting my patient's desires, and health and oral health above my own personal desires. I will always provide my patients with all their options so that they may be able to make the best decision for their oral health based on their limitations and their understanding. I will always document my procedures and any important events that occur during my patient's visit, so that I can legally protect myself and themselves, and so that the work is documented for future review. I will  never discriminate and will serve all equally, regardless of ethnicity, gender, faith, sexual orientation, etc., taking into consideration the various cultures and beliefs of my patients and being sensitive and understanding of them.",D4F
3,Q3KOrarY,Private Personal,29-11-16 1:16,1.266666667,"As a dental student, I will strive to learn about various oral health diseases and their symptoms, as well as different methods to improve oral hygiene. I will also learn the processes behind these diseases, and how to treat them. In the clinic, I will learn about the characteristics of each teeth, how to restore them via crowns, fillings, or root canals, how to remove caries, how to make complete and partial dentures and how to create models and impressions for studying a patient's mouth or for preparing crowns or retainers. I will also learn how to interact with patients in terms of explaining procedures to them in words they can understand, in a manner that is respectful, and in a empathetic and ethical way (putting the patient's health and wants above my own personal desires). Finally, I hope to learn from my colleagues and practice communicating and working together with them, while helping them in return. I believe that an environment in which everyone is honest and working together as a team ends up benefitting both those working as well as the patients being treated.",D4F
4,Q3KOrarY,Private Self Reflection,29-11-16 1:16,1.266666667,"Personally, as a professional I hope that I can possibly specialize in an area such as orthodontics, pediatrics, periodontics, or endodontics. However I will not limit myself to these specialties and I will explore other areas of specialty. I will also be satisfied with being a general dentist as well. Ultimately though, it depends on what I find I enjoy the most. I would also like to open my own clinic or at least have a clinic with another associate, especially because of the ease of accessibility to another dentist's opinion. Finally, I will strive to treat all my patients with respect, and all my colleagues with gratification and respect. I will try to be patient with patients that can be difficult to communicate with or patients who may have different ideologies than myself. I will make sure I am aware of various cultural beliefs and be sensitive to those and at the same time, be mindful that we are made up of a multitude of identities.",D4F
5,Q3KOrarY,Public Self Reflection,29-11-16 1:16,1.266666667,"In becoming a health professional, I hope to provide my patients with the best care I can possibly give. That includes continuing my education by going to conventions and conferences to learn about the most up to date technologies for oral hygiene. I will also constantly challenge myself to better my work, by self-assessing myself often and checking on past work to see if anything should be redone. As a professional, I will strive for clear and concise communication with the patient and with my colleagues. I will also attempt to ensure that all my patients understand the importance of oral hygiene to overall health and the various ways they can take care of their teeth and health. Even if my patients have difficulty practicing this, I want to make sure I give them all the information and knowledge so that they can make their own autonomous decision about their dental health.",D4F
6,Q3KOrarY,Professional Progress,29-11-16 1:16,1.266666667,"In my third year, I've learned much more about how the oral cavity can reflect diseases in the body or how the oral cavity can be affected because of other changes occurring in the patient's body. I've learned how to work with another student as a dental assistant and vice versa, learning more about team effort. I've learned the steps and processes needed in creating a complete and a removable partial denture. I've learned how to prepare crowns and bridges as well as make temporary crowns and bridges. I've learned more about how to interact with patients and now that I am in clinic, I am starting to understand how to communicate with my patients in a way that shows professionalism and competence while still being a student at the school. In the clinic I've been able to practice the above on all my patients, as well as how to give local anesthesia to my patients in the form of nerve blocks and infiltrations, comprehensive exams and x-rays, prophylaxis, scaling and root planing and restorations. I still have yet to perform endodontics yet but I aim to soon.",D4F
7,Q3KOrarY,Public Personal,29-11-16 1:16,1.266666667,"As a dental student, I will strive to learn how to best serve my patients, the community around me, and various communities around the country and the world. Specifically, I will become knowledgeable on the causes and symptoms of dental diseases as well as full body diseases, especially those that can become evident in the oral cavity. I will learn to treat patients both in the short-term and long-term capacity. I will also strive to treat all my patients with respect, sympathy, and ethically, taking into account their various cultural identities and being sensitive and understanding of them. I will always put the patient's health and desires above any personal gain, and I will be sure to refer my patient's to other doctors or dentists if I do not feel able to complete a procedure. I will practice my communication skills and being honest with my patients. I will practice my own skills so that I am competent and able to serve others well. I strive to continue learning new methods, techniques, and technologies when appropriate, to be better able to treat my patients.",D4F
8,QRWhtutU,Ethic Reflection,01-11-16 21:39,21.65,"I believe practitioners' attitudes fundamentally influence patients' view of health and decision making process. My integrity, personal standards, goals and aspirations are important factors in earning respect from peers, colleagues, patients, and the general public. Public expects health professions to behave and make decisions with utmost ethical standards. It is important to realize that ethical dilemmas can be solved with the five principles of ethics that are valued in the profession.",D4F
9,QRWhtutU,Private Personal,01-11-16 21:39,21.65,"Ever since I realized that dentistry is one of the few professions that seamlessly blend both artistry and science, I was fascinated by it. Thus, it is natural, that I have a vast interest in becoming an orthodontist. However, I would like to be exposed to a various different dental specialties not only through school curriculum but also through community outreach and volunteer service. As a dental student, I would like to graduate dental school in good standing with proficiency in general dentistry. As a health care professional, I would like to learn not only the technical skills but also the interpersonal skills to have fulfilling relationships with patients with various different background. I realize this skill would require me to uphold my ethical principles as well as the rules and regulation at all times. Moreover, I hope that I would be more open-minded and bold in making decisions. In addition, I would like to have a good lifelong relationship with my peers in both private and professional environment.",D4F
10,QRWhtutU,Private Self Reflection,01-11-16 21:39,21.65,"Dentistry is one of the few professions that requires not only the high practical prowess but also moral and ethical standards. There are several factors that make a dentist a good professional but I believe one of the most important things for a professional is to be independent and proficient in their job. In other words, professionals should be consistent and punctual. In addition, it is important to follow the rules and regulation to prevent reckless and nefarious malpractices. However, this does not mean that one should be stagnant and passive in their profession. Rather, I believe it is important for professional to actively seek out for improvements and advancements. This can be achieved through working, discussing and researching issues with different professionals in various different fields in the profession. Moreover, it is important for professionals to have appropriate moral and ethical standards. I believe these are some of the factors that are crucial in becoming a good professional.",D4F
