X1,NETID,RefType,Date,Time,Text,DYear
1,Q2a1zJef,Ethic Reflection,14-04-17 18:02,18.03333333,"Ethics will be the base of how I practice.  Delivering the best possible care while being ethical at the same time is how I intend to on how I base my practice.  I have seen so many patients that had horrible dental work done, and its unfortunate that there are dentists that continue practicing like this.  I don't believe it is ethical to practice like this. The patients that come are trusting us with something precious, and we need to uphold our value of ethics.  All options need to be discussed, and the patients need to understand it to the best of their ability.",D4L
2,Q2a1zJef,Private Personal,14-04-17 18:06,18.1,"Sternberg's triangular theory of love states that with passion, commitment and intimacy consummate love is attainable. It is my belief that integrating these three components as my guiding values will ultimately lead to my idea of a consummate life: my triangular theory of success.  Indeed, it is my journey as a dental student that led me to what I believe is a consummate life.  As a dentist and as a woman, I yearn to continue my dental career within this triangular theory of success; satiating my passion for the dental discipline, committing myself to the healthcare profession, and building an intimate bond with my patients. Some believe that reaching perfection is unattainable, but there is something truly 'consummate' about dedicating yourself to something you love and developing the wisdom needed to treat patients with different needs and challenges.
My first year as a dental student was by far the most difficult, but it was also the most rewarding one given it was the validation of my love with the field. Midway through the semester I gave birth to a beautiful baby girl and she became a reminder that I was not only going to school to fulfill my dreams, but also to fulfill hers. Thankfully there were no complications and I managed to maintain my pre-partum schedule and be a fulltime mom. Balancing being a student, wife and mother helped me to fully understand the power of my calling. I was backed by a loving and nurturing family that inspired me to dedicate myself to a career and that gave me the tools to be a versatile woman. I knew back then that I still had a long road ahead of me, but that nothing could stop me from reaching my goals.  
Along the academic road was entering clinic, an experience which marked me profoundly as an individual and as dental practitioner. Treating patients only cemented my desire to become a dentist, as it was through practice that I came to comprehend my devotion to working in the care of people. Your patients place all their trust in you and seeing that gave me the confidence I needed and served as a great motivator. Needless to say, I was immensely excited to take all my book wisdom and apply it to actual people. It was only until I began hands on work that I was able to apply my unique skills of dental artistry.  Once my patients began referring their friends and family members, I realized that not only did my patients have faith in me; they were witnesses to the high quality of my work. 
Four years have passed since I entered dental school, and on record this time shows the dedication I put into my education; however, this time was so much more than studying for me. In four years I transitioned into the woman I am today, learning how to juggle being a wife, mother, student and working woman. While my perseverance and determination were strong, there were moments when my inner struggles almost got the best of me. It wasn't easy putting all my focus on my career when there were people depending on me, and while there were plenty of sleepless nights and disappointments, I learned through this journey that nothing worth fighting for is easy. I came out knowing what I was capable of and that ultimately my resiliency would be the determinant of the outcomes in my life and my career. I am completely resolute on being a dental practitioner, on helping people, on accomplishing revolutionizing things within my field and looking back on my journey I realize that I have acquired the passion, commitment and intimacy within my concentration to say I have attained my idea of a consummate life",D4L
3,Q2a1zJef,Private Self Reflection,14-04-17 18:06,18.1,"What is the definition of a professional?  According to Merriam Webster, it is 'characterized by or conforming to the technical or ethical standards of a profession, exhibiting a courteous, conscientious, and generally businesslike manner in a workplace'.  I believe being a professional is also taking responsibility for your actions.  For example, I missed the peer assessment meeting last week, September 27, due to my two-year-old child being ill.  I needed to prioritize what was more important to me; the wellbeing of my child or attending the peer assessment meeting.  Of course I chose my child, as I believe, any mother would.  I emailed the instructor explaining the situation and that I would make up the absence any way I can.  
Being a professional also encompasses competency, knowledge, respect, honesty, and integrity.  Becoming competent takes years of experience.  We learn to turn problems into solutions.  Also, we never stop on building on our knowledge so that we can always improve on our skills.  As always, being respectful characterizes you as a person and as a professional.  Honesty and integrity I believe is of utmost importance because that way you build a trustful relationship.   
I got to implement being a professional in clinic while working with patients.  Your patients place all their trust in you and seeing that gave me the confidence I needed and served as a great motivator. Needless to say, I was immensely excited to take all my book wisdom and apply it to actual people. It was only until I began hands on work that I was able to apply my unique skills of dental artistry.  Once my patients began referring their friends and family members, I realized that not only did my patients have faith in me; they were witnesses to the high quality of my work.",D4L
4,Q2a1zJef,Public Self Reflection,14-04-17 18:03,18.05,"Becoming a professional I believe takes time.  You need to be exposed to situations where you need to interact with other professionals and learn from them.  I believe you never stop learning to become a professional, it is a lifelong process.  Being a professional also encompasses competency, knowledge, respect, honesty, and integrity.  Becoming competent takes years of experience.  We learn to turn problems into solutions.  Also, we never stop on building on our knowledge so that we can always improve on our skills.  As always, being respectful characterizes you as a person and as a professional.  Honesty and integrity I believe is of utmost importance because that way you build a trustful relationship.",D4L
5,Q2a1zJef,Professional Progress,14-04-17 18:06,18.1,"I have learned so much within the past 4 years.  I think I am in the process of becoming an independent practitioner, one that knows when to operate and when to refer a patient out.  There is definitely room to grow however i believe i am growing at a good pace.  I hope to learn so much more once i start my residency in Jamaica Hospital.  I believe you never stop learning, it is a continuous process.  Coming out of school, we learned not to do harm to our patients, but excelling will take years of practice and commitment.",D4L
6,Q2a1zJef,Public Personal,14-04-17 18:06,18.1,"For the next four years, I want to grow as an individual.  I want to become a professional.  I have been around the dental field for the past few years, working in a dental office as a dental assistant.  I want to transition from being a dental assistant to a dentist.  I hope once I finish my four years at NYU I will be a confident and ethical doctor.  I find it so important to establish trusting relationship with patients, and the first thing is to do everything in the best interest of the patient.",D4L
7,Q3KOrarY,Ethic Reflection,17-04-17 3:05,3.083333333,"In treating patients in clinic the past few years, I have learned how to approach various situations that involve the patient making decisions on treatment or the dentist guiding the treatment plan. It is ultimately up to the patient to decide on the treatment, but as an acting health care professional, it is my job to ensure the patient understands what side effects and what potential consequences can arise from treatment. This ethical dilemma includes being respectful and accepting a patient's decision, even if it may not be one that is in the best interest of the patient's health. As long as these decisions are documented and the patient is well-informed, the patient can do as he or she pleases. I will also put my patient's desires, and health and oral health above my own personal desires. I will always document my procedures and any important events that occur during my patient's visit, so that I can legally protect myself and themselves, and so that the work is documented for future review. I will  never discriminate and will serve all equally, regardless of ethnicity, gender, faith, sexual orientation, etc.",D4L
8,Q3KOrarY,Private Personal,17-04-17 3:05,3.083333333,"In my future practice, I will undoubtedly be providing restorative, prosthodontic, endodontic and periodontic treatment to all of my patients. But I will make sure that I am practicing patient-centered care. I will consult with the health care providers involved in treating my patient when necessary and will look to the literature and my own clinical experience for the best and most up to date ways to treat my patient. I will continue to treat all my patients with respect and empathy. I will treat them ethically, taking into account their various cultural identities and being sensitive and understanding of their backgrounds and their experiences. I will always put my patient's health and desires above any personal gain. I will be honest with my patients and provide them with all the information I gather so that they can make an informed decision. I strive to eventually have a group practice with one or two trusted colleagues where we can consult each other if necessary and learn from each other.",D4L
9,Q3KOrarY,Private Self Reflection,17-04-17 2:47,2.783333333,"These past four years of dental school have been vital in my becoming a health professional. I have learned how to properly communicate with my patients, how to gauge their expectations and how to effectively show that I have their best intentions at heart. I have begun to learn about the business and financial aspects of being a health professional, especially after seeing the impact one's insurance can have in dictating treatment. I plan on continuing my education, first through a year of residency, then with continuing education by attending seminars and course that will allow me to keep up to date with the latest methods and technology. I will continue assess my work and to challenge myself to do even better in the future. Ultimately, as a professional I wish to be able to give my patients the best care I can, by not only focusing on their oral health, but on their systemic health and ensuring that they are stable and healthy to receive dental treatment.",D4L
10,Q3KOrarY,Public Self Reflection,17-04-17 3:05,3.083333333,"These past four years of dental school have been vital in my becoming a health professional. I have learned how to properly communicate with my patients, how to gauge their expectations and how to effectively show that I have their best intentions at heart. I have begun to learn about the business and financial aspects of being a health professional, especially after seeing the impact one's insurance can have in dictating treatment. I plan on continuing my education, first through a year of residency, then with continuing education by attending seminars and course that will allow me to keep up to date with the latest methods and technology. I will continue assess my work and to challenge myself to do even better in the future. Ultimately, as a professional I wish to be able to give my patients the best care I can, by not only focusing on their oral health, but on their systemic health and ensuring that they are stable and healthy to receive dental treatment.",D4L
